,Mkt-RF,SMB,HML,RF,WML
1933-09-01,-0.1065,-0.0058,-0.11710000000000001,0.0002,0.016399999999999998
1933-10-01,-0.0836,-0.0007000000000000001,-0.0849,0.0001,-0.0213
1933-11-01,0.09970000000000001,-0.0637,0.0227,0.0002,0.0646
1933-12-01,0.0182,0.0036,-0.0199,0.0002,0.0401
1934-01-01,0.126,0.1321,0.162,0.0005,-0.0348
1934-02-01,-0.025099999999999997,0.050499999999999996,0.018600000000000002,0.0002,0.0009
1934-03-01,0.0009,0.0245,-0.0259,0.0002,-0.0067
1934-04-01,-0.0179,0.0273,-0.0383,0.0001,-0.0481
1934-05-01,-0.0726,-0.0031,-0.059000000000000004,0.0001,-0.0239
1934-06-01,0.0271,-0.0218,-0.0285,0.0001,-0.0079
1934-07-01,-0.1094,-0.0712,-0.1076,0.0001,0.08800000000000001
1934-08-01,0.0558,0.0555,0.0017000000000000001,0.0001,0.0256
1934-09-01,-0.0024,-0.015,-0.0121,0.0001,-0.0006
1934-10-01,-0.0166,0.0123,-0.05,0.0001,0.0688
1934-11-01,0.0833,0.066,-0.021400000000000002,0.0001,0.0377
1934-12-01,0.0036,0.032799999999999996,-0.0316,0.0001,0.0453
1935-01-01,-0.0346,0.0096,-0.0177,0.0001,0.031
1935-02-01,-0.0196,0.0032,-0.0748,0.0002,0.1446
1935-03-01,-0.0371,-0.034300000000000004,-0.050300000000000004,0.0001,0.023700000000000002
1935-04-01,0.0906,-0.0158,0.0437,0.0001,-0.0475
1935-05-01,0.0346,-0.032,0.0245,0.0001,-0.0359
1935-06-01,0.0593,-0.0253,-0.0152,0.0001,0.026600000000000002
1935-07-01,0.0754,0.0202,0.0658,0.0001,-0.0479
1935-08-01,0.0265,0.0601,0.0629,0.0001,-0.0646
1935-09-01,0.0262,0.0155,-0.0412,0.0001,0.08310000000000001
1935-10-01,0.0703,0.026699999999999998,-0.0233,0.0001,0.0182
1935-11-01,0.0487,0.04650000000000001,0.122,0.0002,-0.07139999999999999
1935-12-01,0.0455,0.0009,0.0083,0.0001,0.037000000000000005
1936-01-01,0.0689,0.055999999999999994,0.10949999999999999,0.0001,-0.029500000000000002
1936-02-01,0.024900000000000002,0.0084,0.0433,0.0001,0.0253
1936-03-01,0.0096,0.0069,-0.0159,0.0002,0.0163
1936-04-01,-0.0814,-0.0599,-0.022799999999999997,0.0002,-0.0767
1936-05-01,0.0519,0.0089,0.0255,0.0002,0.025
1936-06-01,0.024,-0.0322,-0.011899999999999999,0.0003,0.005600000000000001
1936-07-01,0.0668,0.010700000000000001,0.0253,0.0001,0.024900000000000002
1936-08-01,0.009899999999999999,0.0060999999999999995,0.0379,0.0002,0.006
1936-09-01,0.0097,0.031200000000000002,0.009399999999999999,0.0001,0.0141
1936-10-01,0.071,-0.0235,0.025099999999999997,0.0002,0.0068000000000000005
1936-11-01,0.0326,0.087,-0.0125,0.0001,0.0204
1936-12-01,0.002,0.0387,0.0414,0.0,0.0213
1937-01-01,0.0335,0.0449,0.0278,0.0001,-0.0199
1937-02-01,0.0108,0.0064,0.042800000000000005,0.0002,0.027200000000000002
1937-03-01,-0.0026,-0.0125,0.0704,0.0001,0.0333
1937-04-01,-0.0736,-0.037200000000000004,-0.0346,0.0003,-0.0354
1937-05-01,-0.0083,-0.0069,-0.0346,0.0006,0.005699999999999999
1937-06-01,-0.042300000000000004,-0.0391,-0.031200000000000002,0.0003,0.0078000000000000005
1937-07-01,0.0891,0.0088,0.008100000000000001,0.0003,-0.0045000000000000005
1937-08-01,-0.048799999999999996,0.0045000000000000005,-0.0225,0.0002,-0.018600000000000002
1937-09-01,-0.1362,-0.07,-0.0455,0.0004,-0.0681
1937-10-01,-0.0959,0.0045000000000000005,-0.0152,0.0002,-0.0146
1937-11-01,-0.0833,-0.0356,0.0022,0.0002,-0.0132
1937-12-01,-0.0429,-0.07919999999999999,-0.004699999999999999,0.0,0.048499999999999995
1938-01-01,0.0048,0.0484,-0.015300000000000001,0.0,-0.0174
1938-02-01,0.058499999999999996,0.0040999999999999995,-0.0197,0.0,-0.028399999999999998
1938-03-01,-0.2391,-0.043,-0.0363,-0.0001,0.1578
1938-04-01,0.1448,0.064,0.0045000000000000005,0.0001,-0.09849999999999999
1938-05-01,-0.038599999999999995,-0.024700000000000003,-0.0024,0.0,0.0698
1938-06-01,0.2389,0.042199999999999994,0.0037,0.0,-0.2487
1938-07-01,0.0733,0.0669,0.022799999999999997,-0.0001,-0.0677
1938-08-01,-0.0268,-0.0248,-0.0478,0.0,0.0349
1938-09-01,0.0083,-0.0268,-0.017,0.0002,0.0242
1938-10-01,0.078,0.0581,0.0504,0.0001,-0.0753
1938-11-01,-0.0174,-0.0255,-0.012,-0.0006,0.0332
1938-12-01,0.0416,-0.0181,0.0054,0.0,0.0231
1939-01-01,-0.059699999999999996,-0.0154,-0.0392,-0.0001,-0.029900000000000003
1939-02-01,0.0351,0.0060999999999999995,0.0292,0.0001,0.031200000000000002
1939-03-01,-0.12029999999999999,-0.0475,-0.0827,-0.0001,-0.018600000000000002
1939-04-01,-0.0018,0.0167,-0.003,0.0,0.0273
1939-05-01,0.0681,0.027999999999999997,0.004699999999999999,0.0001,0.0352
1939-06-01,-0.0533,-0.0109,-0.0528,0.0001,0.022400000000000003
1939-07-01,0.10220000000000001,0.0418,0.0013,0.0,-0.0069
1939-08-01,-0.0668,-0.045899999999999996,-0.024700000000000003,-0.0001,0.0591
1939-09-01,0.1689,0.2057,0.21760000000000002,0.0001,-0.3145
1939-10-01,-0.0053,-0.0008,-0.0479,0.0,0.0658
1939-11-01,-0.0365,-0.0512,-0.063,0.0,-0.0029
1939-12-01,0.029300000000000003,0.0092,-0.04190000000000001,0.0,0.0542
1940-01-01,-0.0241,0.0023,-0.0077,0.0,0.0174
1940-02-01,0.0144,0.0252,-0.0036,0.0,0.0167
1940-03-01,0.020499999999999997,0.0124,-0.0127,0.0,-0.0055000000000000005
1940-04-01,0.0022,0.039900000000000005,-0.0022,0.0,0.0336
1940-05-01,-0.22,-0.0662,-0.037200000000000004,-0.0002,0.028900000000000002
1940-06-01,0.0669,-0.0232,0.048799999999999996,0.0,-0.0246
1940-07-01,0.0317,0.009899999999999999,-0.0075,0.0001,0.0106
1940-08-01,0.022099999999999998,-0.0018,0.0055000000000000005,-0.0001,-0.0178
1940-09-01,0.0239,0.032,-0.011399999999999999,0.0,-0.0006
1940-10-01,0.030299999999999997,0.0033,0.04650000000000001,0.0,-0.0576
1940-11-01,-0.0165,0.019799999999999998,0.0016,0.0,0.0131
