const,value,quality,momentum,low_risk
-0.0023567444269745347,-0.013508563653547363,-0.020354376426671074,-0.004150772753854634,-0.0077799543402425324
0.01688730143715646,-0.019052353679814713,-0.01716083813163623,0.002370577094821715,0.01796418998308655
0.012025247317075966,0.005089488432370834,0.021843940926114806,-0.024849495007798608,-0.024147168999035473
0.00950069633734247,-0.006860369037868651,0.01233493988684543,-0.01868676920037877,-0.021590734989634736
0.012462304949892158,-0.016589309294022768,0.0039048180144436364,0.010232644128358441,-0.012481695476698782
-0.003063598118576126,-0.005619018166531771,-0.01460311361318737,0.018687267939847707,0.008659822395790849
-0.01640196210479299,-0.011482764173887872,0.021247510255698036,-0.00595544642022567,0.015005105226069751
0.005889935252809594,-0.020410631966544628,0.005208755712049266,-0.0028038701347713833,0.004625014261355025
0.002882952119508587,0.009488466458791957,-0.0007238581128643728,0.006924329022549969,-0.019557635930381633
0.019544014496269243,-0.005354137031875468,-0.0029163584405009005,-0.020704666480423597,-0.012511583918132174
-0.021436863310920953,-0.003711995302455884,0.002102763663124208,-0.030913493326183802,0.04479752160812753
0.009239570733953175,0.00084453726097522,0.0030164572074370013,-0.00417723905075125,0.010655055936903978
0.001707913691643003,0.010408616478593934,-0.009144672708298947,0.042093372534041266,-0.019306510270576924
0.0039014706861985973,0.0030692737002566725,-0.006981659749415874,-0.0049065283085104,-0.026370904580333338
-0.00030482327271919105,0.007749102980651601,0.05635149963704317,-0.00036065290387994955,0.01039546722257603
0.008177746917951357,0.0029546207953897,-0.002732437210466976,0.009009862839109513,0.019883021241313137
0.010051901907344863,0.004027040019368846,-0.017996730865350644,-0.037039793109638786,0.02224208393655194
-0.00215231705880484,0.016133320832089598,0.005607905553260302,-0.0050667765014966535,0.020934958734750014
-0.007648383709682127,0.02729148062347198,0.03480578801005923,-0.005820622109894489,-0.01635944860938949
0.0038719648624362486,0.005293028003970574,-0.04433865766289161,0.006729865742559594,-0.008698369882979113
0.010131221732399567,0.00880828173306728,-0.012715104219428144,-0.018768097298076932,-0.02127413739110913
-0.00349236824937504,-0.0034437042764424858,0.0013466559077559281,-0.019191734030833893,0.002089437021918548
0.010125551419040478,0.0018077784684452534,-0.010299017913479331,0.01613193695221912,-0.009503566590950118
0.022983016060314235,-0.016689160876901588,0.0008629079127570258,-0.03633278552432881,-0.018399103532763934
0.006345587395623862,-0.014936737494268241,0.020861461401513424,0.013063295231709123,-0.031281272392073
0.0004988230261873494,-0.012450968224296248,-0.017000253775516894,-0.004372500576132287,0.016314070837166943
0.018586607319624117,-0.01965859117401543,-0.069065981586441,0.02280660575022255,-0.0018441490883753173
0.009993526522181348,0.001733036550420741,-0.05674730982189425,-0.007389469958648746,-0.012272224219437885
0.011913874546320188,0.012351572525699905,-0.03148522221975428,-0.0030720733331588857,-0.014441818595960776
0.0009957543672285043,-0.01811231618417702,-0.018170876485788034,-0.02195271107767356,0.0035027737220639857
0.022811120355396175,0.010020089167039246,0.021603398912480073,-0.023626155042465867,-0.01957526097133278
-0.009194769694636888,0.0060140360191398125,0.037245232743592045,-0.03237901773613839,0.014261582806566694
0.008647621925258205,-0.011193136738154232,-0.0037746921416989612,0.012198873587861056,-0.019978913273529873
0.009120282518597641,0.011927092560685625,0.006598712895949026,0.05484614096221071,0.007029023315456061
0.006501423769823022,0.013520130286764746,0.03525921538972262,0.044618329825418586,0.022700672051168935
0.005512816450036567,-0.016700612356430434,0.05904446358290925,-0.022001189411936444,-0.012814904020711558
-0.009856079192997703,0.0016612264213647712,0.012614401251987695,-0.014676824115836824,0.02249623285909507
0.006760804763301969,0.002950488998214714,0.035539047164151544,-0.0002644803448518377,0.007725267350197457
-0.009857934519892026,0.0029229142963131055,0.035224084751567034,0.02076996966558126,-0.0035428797321610268
0.012553331890331514,-0.03011871813145693,0.0007176641981548638,-0.034906535658894684,-0.02110573521617705
0.008157817160214572,-0.012977252010133404,0.022756473153303456,-0.022296283021536814,-0.03169307207467613
0.0022115549303138235,0.012978823424857025,-0.030530489900212933,0.0012060244550720755,0.006293045225629037
-0.002060814298420517,0.01347092240125514,-0.012571767322389857,0.009266150969102889,-0.0034830206145696043
0.008961231175090349,-0.012479537778924406,0.00558449563462078,0.029303165179973986,-0.0011872916275962563
0.01138162500482781,-0.02570178313127011,0.01825606716937825,-0.0016503364104926846,-0.032632821537637205
0.003421433802692085,0.005027242850219411,-0.01575755888532302,0.0032291913867927655,-0.0010611346239240201
0.02387371001369324,-0.03390616050522633,-0.02052505746813884,-0.00858260761210266,-0.0023229864373924027
0.012405509652860015,-0.006974822644910265,0.011282621921340774,-0.028149683747528135,-0.0013174614144923526
0.006435444301886934,0.007900538816020541,0.05094030908615223,0.014873795368533699,0.008437639544330718
-0.008016738690926235,-0.009033960708481736,0.039228782719406004,0.0005787809317594605,-0.04023297538248092
0.019157137665216054,0.01193993245365599,0.01370513481448575,-0.016661819620221712,-0.01708419358279244
0.004516273243890619,0.008960250854295172,-0.04631002601245397,0.006500677394786151,0.011103682350886063
0.012216289109218861,0.017133236739895273,-0.036530398849576345,-0.0025270785624310343,-0.009864306489084998
0.016964076512408433,-0.008101939307092083,-0.063361784610505,-0.023036722551271836,-0.010275675140244626
-0.011539920698536212,-0.0018512269844171278,-0.020079447766418256,-0.00854348497439025,0.016625493413044312
0.004136398989791302,0.01984007169555357,0.06524971271937005,-0.01666214516097883,0.038057442325697584
0.021280197118896595,0.011272797760971513,-0.05845354124890628,0.007656849081254486,-0.01414132381012409
